繁體(OpenCC)	原書詞頭	简体	吴拼
田頭	田頭	田头	di deu
田橫頭	田横頭	田横头	di wan deu
田塍	田塍	田塍	di yin
田蠢	田蠢	田蠢	di tshyun
甜	甜	甜	di2
甜味醬	甜味醬	甜味酱	di mi cian
甜頭	甜頭	甜头	di deu
甜口	甜口	甜口	di kheu
甜羹	甜羹	甜羹	di kan
甜漿漿	甜漿漿	甜浆浆	di cian cian
甜嫩頭	甜嫩頭	甜嫩头	di nen deu
甜嫩嫩	甜嫩嫩	甜嫩嫩	di nen nen
甜咪咪	甜咪咪	甜咪咪	di mhi mhi
甜津津	甜津津	甜津津	di cin cin
甜食	甜食	甜食	di zhiq
堤	堤	堤	di2
提子	提子	提子	di tsy
提簍	提簍	提篓	di leu
提桶	提桶	提桶	di don
填房	填房	填房	di vaon
蹄髈	蹄髈	蹄髈	di phaon
蹄筋	蹄筋	蹄筋	di cin
鯷魚	鯷魚	鳀鱼	di ng
地	地	地	di6
地主阿太	地主阿太	地主阿太	di tsyu aq tha
地皮	地皮	地皮	di bi
地基石	地基石	地基石	di ci zaq
地契	地契	地契	di chi
地租	地租	地租	di tsu
地園	地園	地园	di yu
地牌	地牌	地牌	di ba
地竈	地竈	地灶	di tsau
地板	地板	地板	di pae
地毯	地毯	地毯	di thae
地磚	地磚	地砖	di tsoe
地頭鬼	地頭鬼	地头鬼	di deu ciu
地頭蛇	地頭蛇	地头蛇	di deu dzo
地溝	地溝	地沟	di keu
地狗	地狗	地狗	di keu
地樣	地樣	地样	di yan
地壤	地壤	地壤	di gnian
地樣裏	地樣裏	地样里	di yan li
地壤裏	地壤裏	地壤里	di gnian li
地樣下頭	地樣下頭	地样下头	di gnian gho deu
地壤下頭	地壤下頭	地壤下头	di gnian gho deu
地樣下底	地樣下底	地样下底	di yan gho ti
地壤下底	地壤下底	地壤下底	di gnian gho ti
地方	地方	地方	di faon
地藏王菩薩	地藏王菩薩	地藏王菩萨	di dzaon waon bu saq
地㽘	地㽘	地㽘	di gaon
地坪	地坪	地坪	di bin
地腳印	地腳印	地脚印	di ciaq in
地栿	地栿	地栿	di boq
地栿踏穿	地栿踏穿	地栿踏穿	di boq daq tshoe
地栿𨂝穿	地栿𨂝穿	地栿𨂝穿	di boq bae tshoe
地作貨	地作貨	地作货	di tsoq hou
地鱉蟲	地鱉蟲	地鳖虫	di piq dzon
地栗	地栗	地栗	di liq
地栗糕	地栗糕	地栗糕	di liq kau
地軸	地軸	地轴	di jiuq
弟弟	弟弟	弟弟	di di
弟新婦	弟新婦	弟新妇	di shin vu
第	第	第	di6
第二天亮	第二天亮	第二天亮	di gni thiq gnian
第二日	第二日	第二日	di gni gniq
電線木頭	電綫木頭	电线木头	di shi moq deu
電線杆子	電綫杆子	电线杆子	di shi ki tsy
電光燈	電光燈	电光灯	di kuaon ten
電燈貓	電燈貓	电灯猫	di ten mae
電工貓	電工猫	电工猫	di kon mae
鈿	鈿	钿	di6
墊被	墊被	垫被	di bi
墊被套	墊被套	垫被套	di bi thau
墊肩	墊肩	垫肩	di ci
墊板	墊板	垫板	di pae
墊腳石	墊腳石	垫脚石	di ciaq zaq
簟匠	簟匠	簟匠	di zhian
連底凍	連底凍	连底冻	li ti ton
連兼	連兼	连兼	li ci
連爹連孃	連爹連娘	连爹连娘	li tia li gnian
連刀塊	連刀塊	连刀块	li tau khuei
連牢	連牢	连牢	li lau
連衫裙	連衫裙	连衫裙	li sae jiun
連衫連裙	連衫連裙	连衫连裙	li sae li jiun
連衫連褲	連衫連褲	连衫连裤	li sae li khu
連坐	連坐	连坐	li zou
連頭搭腦	連頭搭腦	连头搭脑	li deu taq nau
連襠碼子	連襠碼子	连裆码子	li taon mo tsy
連襟	連襟	连襟	li cin
梨頭	梨頭	梨头	li deu
犁	犁	犁	li2
犁鑱頭	犁鑱頭	犁镵头	li zae deu
犁鑱蝮	犁鑱蝮	犁镵蝮	li zae phoq
犁柄	犁柄	犁柄	li pin
犁梢尾巴	犁梢尾巴	犁梢尾巴	li sau mi po
犁梢尾巴	犁梢尾巴	犁梢尾巴	li sau ng po
犁沖○	犁沖○	犁冲○	li tshon
犁身	犁身	犁身	li shin
蓮子調羹	蓮子調羹	莲子调羹	li tsy diau kan
蓮子飯碗	蓮子飯碗	莲子饭碗	li tsy vae un
蓮花文書	蓮花文書	莲花文书	li huo ven syu
蓮心	蓮心	莲心	li shin
蓮蓬	蓮蓬	莲蓬	li bon
蓮蓬頭	蓮蓬頭	莲蓬头	li bon deu
離○	離○	离○	li2
離星	離星	离星	li shin
離婚	離婚	离婚	li huen
離縫	離縫	离缝	li von
鐮刀	鐮刀	镰刀	li tau
謰謰謱謱	謰謰謱謱	謰謰𫍴𫍴	lhi lhi lho lho
李子	李子	李子	li tsy
里把路	里把路	里把路	li po lu
利市	利市	利市	li zy
利鈿	利鈿	利钿	li di
利朗	利朗	利朗	li laon
荔枝	荔枝	荔枝	li ci
旅	旅	旅	li6
旅社	旅社	旅社	li dzo
旅遊鞋	旅游鞋	旅游鞋	li yeu gha
痢疾𱚼	痢疾𱚼	痢疾𱚼	li jiq dza
摙	摙	摙	li6
楝樹	楝樹	楝树	li zyu
㪝槌	㪝槌	㪝槌	li dzyu
裏	裏	里	li6
裏山	裏山	里山	li sae
裏間	裏間	里间	li kae
裏紐	裏紐	里纽	li gnieu
裏廂	裏廂	里厢	li shian
裏頭	裏頭	里头	li deu
裏角落頭	裏角落頭	里角落头	li koq loq deu
裏脊肉	裏脊肉	里脊肉	li ciq gnioq
剺	剺	剺	li6
㼑	㼑	㼑	li6
厲○	厲○	厉○	li6
練出	練出	练出	li tshyuq
禮拜	禮拜	礼拜	li pa
禮拜堂	禮拜堂	礼拜堂	li pa daon
斂	斂	敛	li6
鯉魚	鯉魚	鲤鱼	li ng
鏈條	鏈條	链条	li diau
蠣黃	蠣黄	蛎黄	li waon
蠣黃跑蛋	蠣黄跑蛋	蛎黄跑蛋	li waon bau dae
𪚁	𪚁	𪚁	li6
肌身火熱	肌身火熱	肌身火热	ci shin hou gniq
肌身涾涾滾	肌身涾涾滾	肌身涾涾滚	ci shin daq daq kuen
肌身熱	肌身熱	肌身热	ci shin gniq
尖	尖	尖	ci1
尖利	尖利	尖利	ci li
尖頭辣椒	尖頭辣椒	尖头辣椒	ci deu laq ciau
尖角領	尖角領	尖角领	ci koq lin
肩胛頭	肩胛頭	肩胛头	ci kaq deu
肩胛	肩胛	肩胛	ci kaq
煎藥	煎藥	煎药	ci yaq
箕	箕	箕	ci1
嘰嘟	嘰嘟	叽嘟	ci tu
機器腳踏車	機器腳踏車	机器脚踏车	ci chi ciaq daq tsho
摩托車	摩托車	摩托车	moq thoq tsho
機耕路	機耕路	机耕路	ci kan lu
氈鞋	氈鞋	毡鞋	ci gha
己	己	己	ci3
姊妹	姊妹	姊妹	ci mei
姊妹道裏	姊妹道裏	姊妹道里	ci mei dau li
姊妹家	姊妹家	姊妹家	ci mei ko
剪刀	剪刀	剪刀	ci tau
剪刀破絹帕	剪刀破絹帕	剪刀破绢帕	ci tau phou ciu phae
幾	幾	几	ci3
幾糟	幾糟	几糟	ci tsau
幾個	幾個	几个	ci goq
幾個	幾個	几个	ci kou
蟣仔	蟣仔	虮仔	ci tsy
雞	鷄	鸡	ci3
雞雞狗狗	鷄鷄狗狗	鸡鸡狗狗	ci ci keu keu
雞狗雞狗	鷄狗鷄狗	鸡狗鸡狗	ci keu ci keu
雞院	鷄院	鸡院	ci yu
雞毛菜	鷄毛菜	鸡毛菜	ci mau tshe
雞毛撣帚	鷄毛撣帚	鸡毛掸帚	ci mau tae cieu
雞毛刷帚	鷄毛刷帚	鸡毛刷帚	ci mau syuq cieu
雞爪風	鷄爪風	鸡爪风	ci tsau fon
雞罩	鷄罩	鸡罩	ci tsau
雞麻則陋	鷄麻則陋	鸡麻则陋	ci mo tsaq leu
雞蛋	鷄蛋	鸡蛋	ci dae
雞眼	鷄眼	鸡眼	ci ngae
雞娘	鷄娘	鸡娘	ci gnian
雞冠花	鷄冠花	鸡冠花	ci kun huo
雞冠頭	鷄冠頭	鸡冠头	ci kun deu
雞瞪鼓	鷄瞪鼓	鸡瞪鼓	ci ten ku
雞肫	鷄肫	鸡肫	ci tsyun
雞肫皮	鷄肫皮	鸡肫皮	ci tsyun bi
雞籠	鷄籠	鸡笼	ci lon
雞雜	鷄雜	鸡杂	ci dzaq
雞○眨○覺	鷄○眨○覺	鸡○眨○觉	ci saq kau
雞腳爪	鷄腳爪	鸡脚爪	ci ciaq tsau
雞血	鷄血	鸡血	ci shiuq
佔擺	占擺	占摆	ci pa
佔相因	占相因	占相因	ci shian in
見面鈿	見面鈿	见面钿	ci mi di
見大頭鬼	見大頭鬼	见大头鬼	ci dou deu ciu
見䏘鬼	見䏘鬼	见䏘鬼	ci phiq ciu
計高○	計高○	计高○	ci kau
既	既	既	ci5
牮	牮	牮	ci5
牮屋	牮屋	牮屋	ci oq
記	記	记	ci5
記牢	記牢	记牢	ci lau
記掛	記掛	记挂	ci ko
記防	記防	记防	ci baon
記情	記情	记情	ci jin
記認	記認	记认	ci gnin
記性	記性	记性	ci shin
記得	記得	记得	ci taq
記錄簿	記錄簿	记录簿	ci loq bu
祭竈果	祭竈果	祭灶果	ci tsau kou
寄○手勿動	寄○手勿動	寄○手勿动	ci shieu vaq don
𣥼飯	𣥼飯	𣥼饭	ci vae
薦頭人	薦頭人	荐头人	ci deu gnin
繫	繫	系	ci5
繼拜	繼拜	继拜	ci pa
繼拜囡	繼拜囡	继拜囡	ci pa noe
繼拜阿孃	繼拜阿娘	继拜阿娘	ci pa aq gnian
繼拜阿爹	繼拜阿爹	继拜阿爹	ci pa aq tia
繼拜兒子	繼拜兒子	继拜儿子	ci pa ng tsy
千變萬化	千變萬化	千变万化	chi pi vae huo
千言萬語	千言萬語	千言万语	chi yi vae gniu
千家萬戶	千家萬户	千家万户	chi ko vae wu
千把人	千把人	千把人	chi po gnin
千把個	千把個	千把个	chi po goq
千把個	千把個	千把个	chi po kou
千錯萬錯	千錯萬錯	千错万错	chi tshou vae tshou
千層	千層	千层	chi zen
千層餅	千層餅	千层饼	chi zen pin
千定萬定	千定萬定	千定万定	chi din vae din
千真萬確	千真萬確	千真万确	chi cin vae chiuq
千針萬針	千針萬針	千针万针	chi cin vae cin
千辛萬苦	千辛萬苦	千辛万苦	chi shin vae khu
千軍萬馬	千軍萬馬	千军万马	chi ciun vae mo
棲蟲	棲蟲	栖虫	chi dzon
牽絲𢲔凳	牽絲𢲔凳	牵丝𢲔凳	chi sy pae ten
牽扯	牽扯	牵扯	chi tsha
牽扯阿姆	牽扯阿姆	牵扯阿姆	chi tsha an m
牽磨	牽磨	牵磨	chi mou
牽頭皮	牽頭皮	牵头皮	chi deu bi
牽牛鼻頭	牽牛鼻頭	牵牛鼻头	chi ngeu baq deu
牽礱	牽礱	牵砻	chi lon
欺軟怕惡	欺軟怕惡	欺软怕恶	chi gniu pho oq
溪翹	溪翹	溪翘	chi chiau
溪口鎮	溪口鎮	溪口镇	chi kheu tsyun
溪坑	溪坑	溪坑	chi khan
溪坑水	溪坑水	溪坑水	chi khan syu
遷	遷	迁	chi1
遷就	遷就	迁就	chi jieu
槧	槧	椠	chi1
槧腳	槧腳	椠脚	chi ciaq
籤筒	簽筒	签筒	chi don
縴槓	縴杠	纤杠	chi kaon
縴繩	縴繩	纤绳	chi zhin
杞子腦	杞子腦	杞子脑	chi tsy nau
起	起	起	chi3
起雞皮疙瘩	起鷄皮疙瘩	起鸡皮疙瘩	chi ci bi kaq taq
起早落夜	起早落夜	起早落夜	chi tsau loq ya
起燥	起燥	起燥	chi sau
起畈	起畈	起畈	chi pae
耕頭番	耕頭番	耕头番	kan deu fae
耕貳番	耕貳番	耕贰番	kan gni fae
起九	起九	起九	chi cieu
起頭	起頭	起头	chi deu
起風	起風	起风	chi fon
起腳	起腳	起脚	chi ciaq
起屋	起屋	起屋	chi oq
淺	淺	浅	chi3
淺鬆鬆	淺鬆鬆	浅松松	chi son son
淺索索	淺索索	浅索索	chi soq soq
欠	欠	欠	chi5
欠夠	欠夠	欠够	chi keu
汽水	汽水	汽水	chi syu
汽車	汽車	汽车	chi tsho
汽車伕	汽車夫	汽车夫	chi tsho fu
汽車路	汽車路	汽车路	chi tsho lu
汽油	汽油	汽油	chi yeu
汽油燈	汽油燈	汽油灯	chi yeu ten
氣	氣	气	chi5
氣味	氣味	气味	chi mi
氣數	氣數	气数	chi su
氣胎	氣胎	气胎	chi the
氣概	氣概	气概	chi ke
氣耐勿牢	氣耐勿牢	气耐勿牢	chi ne vaq lau
氣量	氣量	气量	chi lian
氣窗	氣窗	气窗	chi tshaon
氣門絕煞	氣門絶煞	气门绝煞	chi men dzyuq saq
氣悶	氣悶	气闷	chi mhen
氣緊	氣緊	气紧	chi cin
氣勿過	氣勿過	气勿过	chi vaq kou
氣勒過	氣勒過	气勒过	chi laq kou
氣煞	氣煞	气煞	chi saq
氣血	氣血	气血	chi shiuq
池塘	池塘	池塘	ji daon
奇奇	奇奇	奇奇	ji ji
奇出古怪	奇出古怪	奇出古怪	ji tshyuq ku kua
敧	敧	敧	ji2
齊巧	齊巧	齐巧	ji chiau
旗袍	旗袍	旗袍	ji bau
旗袍裙	旗袍裙	旗袍裙	ji bau jiun
遲早點	遲早點	迟早点	ji tsau ti
遲發人	遲發人	迟发人	ji faq gnin
錢莊	錢莊	钱庄	ji tsaon
薺菜	薺菜	荠菜	ji tshe
臍帶風	臍帶風	脐带风	ji ta fon
纏	纏	缠	ji2
鰭槍	鰭槍	鳍枪	ji chian
鱭魚	鱭魚	鲚鱼	ji ng
件	件	件	ji6
𢺵	𢺵	𢺵	ji6
𢺵歪	𢺵歪	𢺵歪	ji hua
𢺵笡	𢺵笡	𢺵笡	ji chia
𢺵頭	𢺵頭	𢺵头	ji deu
𢺵頭鵝	𢺵頭鵝	𢺵头鹅	ji deu ngou
忌嘴	忌嘴	忌嘴	ji tsyu
忌日羹飯	忌日羹飯	忌日羹饭	ji gniq kan vae
忮	忮	忮	ji6
苧麻	苧麻	苎麻	ji mo
健	健	健	ji6
健健個	健健個	健健个	ji ji kou
渠	渠	渠	ji6
渠儂	渠儂	渠侬	ji nou
渠個	渠個	渠个	ji goq
渠儂個	渠儂個	渠侬个	ji nou goq
痔漏	痔漏	痔漏	ji leu
痔瘡	痔瘡	痔疮	ji tshaon
掮客	掮客	掮客	ji khaq
廄	廐	厩	ji6
黏牢	黏牢	黏牢	kni lau
黏膠膠	黏膠膠	黏胶胶	kni kau kau
黏格格	黏格格	黏格格	kni kaq kaq
黏得得	黏得得	黏得得	kni taq taq
黏結格牢	黏結格牢	黏结格牢	kni ciq kaq lau
尼姑	尼姑	尼姑	gni ku
尼姑庵	尼姑庵	尼姑庵	gni ku ei
年底	年底	年底	gni ti
年紀	年紀	年纪	gni ci
年年	年年	年年	gni gni
每年	每年	每年	mei gni
年初	年初	年初	gni tshu
年初一	年初一	年初一	gni tshu iq
年數	年數	年数	gni su
年夜頭	年夜頭	年夜头	gni ya deu
年三十邊	年三十邊	年三十边	gni sae zyuq pi
年夜三十邊	年夜三十邊	年夜三十边	gni ya sae zyuq pi
年夜三邊	年夜三邊	年夜三边	gni ya sae pi
年糕	年糕	年糕	gni kau
年糕片	年糕片	年糕片	gni kau phi
年糕糰	年糕糰	年糕团	gni kau doe
年三十夜	年三十夜	年三十夜	gni sae zyuq ya
年三十夜	年三十夜	年三十夜	gni sae syuq ya
年貨	年貨	年货	gni hou
年口	年口	年口	gni kheu
年庚	年庚	年庚	gni kan
年份	年份	年份	gni ven
年成	年成	年成	gni jin
呢	呢	呢	gni2
泥	泥	泥	gni2
泥豬	泥猪	泥猪	gni tsyu
泥水	泥水	泥水	gni syu
泥刀	泥刀	泥刀	gni tau
泥蛇	泥蛇	泥蛇	gni dzo
泥板	泥板	泥板	gni pae
泥墁板	泥墁板	泥墁板	gni mun pae
泥鰍	泥鰍	泥鳅	gni chieu
泥鏽	泥銹	泥锈	gni shieu
泥坯	泥坯	泥坯	gni phei
泥螺	泥螺	泥螺	gni lou
泥墁	泥墁	泥墁	gni mun
泥夾	泥夾	泥夹	gni kaq
泥壁	泥壁	泥壁	gni piq
宜○胡正經	宜○胡正經	宜○胡正经	gni wu cin cin
埿	埿	埿	gni2
疑心	疑心	疑心	gni shin
疑心疑惑	疑心疑惑	疑心疑惑	gni shin gni ghoq
疑惑勿決	疑惑勿決	疑惑勿决	gni ghoq vaq ciuq
閻羅大王	閻羅大王	阎罗大王	gni lou da waon
黏黏上	黏黏上	黏黏上	gni gni zaon
黏頭樹	黏頭樹	黏头树	gni deu zyu
二	二	二	gni6
二處飯	二處飯	二处饭	gni tshyu vae
二房東	二房東	二房东	gni vaon ton
二婚頭	二婚頭	二婚头	gni huen deu
二阿哥	二阿哥	二阿哥	gni aq kou
二伏	二伏	二伏	gni voq
二汁	二汁	二汁	gni ciq
二十邊	二十邊	二十边	gni zyuq pi
二五八六	二五八六	二五八六	gni ng paq loq
二五打八六	二五打八六	二五打八六	gni ng tan paq loq
耳朵套	耳朵套	耳朵套	gni to thau
耳朵套	耳朵套	耳朵套	ng to thau
耳朵彎	耳朵弯	耳朵弯	gni to uae
耳朵彎	耳朵弯	耳朵弯	ng to uae
黏饞	黏饞	黏馋	gni zae
染坊	染坊	染坊	gni faon
研船	研船	研船	gni zoe
硯瓦爿	硯瓦爿	砚瓦爿	gni ngoq bae
硯墨爿	硯墨爿	砚墨爿	gni moq bae
碾子	碾子	碾子	gni tsy
膩腥	膩腥	腻腥	gni shin
膩腥不剌	膩腥不剌	腻腥不剌	gni shin paq laq
仙人	仙人	仙人	shi gnin
仙人球	仙人球	仙人球	shi gnin jieu
仙人掌	仙人掌	仙人掌	shi gnin tsaon
西湖楊柳	西湖楊柳	西湖杨柳	shi wu yan lieu
西瓜	西瓜	西瓜	shi ko
西瓜時	西瓜時	西瓜时	shi ko zy
西瓜帽頭	西瓜帽頭	西瓜帽头	shi ko mau deu
西瓜皮	西瓜皮	西瓜皮	shi ko bi
西瓜蟲	西瓜蟲	西瓜虫	shi ko dzon
西瓜頭蟲	西瓜頭蟲	西瓜头虫	shi ko deu dzon
西崽	西崽	西崽	shi tse
西裝	西裝	西装	shi tsaon
西裝短褲	西裝短褲	西装短裤	shi tsaon toe khu
西半邊	西半邊	西半边	shi pun pi
西面	西面	西面	shi mi
西○枕頭	西○枕頭	西○枕头	shi cin deu
西○枕頭心	西○枕頭心	西○枕头心	shi cin deu shin
先	先	先	shi1
先生	先生	先生	shi san
希○	希○	希○	shi1
希○裏吼○漏	希○裏吼○漏	希○里吼○漏	shi li heu leu
希○吼○	希○吼○	希○吼○	shi heu
軒轎	軒轎	轩轿	shi jiau
稀裏糊塗	稀裏糊塗	稀里糊涂	shi li wu du
稀稀	稀稀	稀稀	shi shi
稀稀浪○浪○	稀稀浪○浪○	稀稀浪○浪○	shi shi laon laon
稀索	稀索	稀索	shi soq
嬉	嬉	嬉	shi1
嬉䏘	嬉䏘	嬉䏘	shi phiq
鮮	鮮	鲜	shi1
鮮☐☐	鮮☐☐	鲜☐☐	shi do do
鮮眼氣	鮮眼氣	鲜眼气	shi ngae chi
鮮爽	鮮爽	鲜爽	shi saon
鮮白壘○魚	鮮白壘○魚	鲜白垒○鱼	shi baq lei ng
鮮辣粉	鮮辣粉	鲜辣粉	shi laq fen
箲帚	箲帚	箲帚	shi cieu
死	死	死	shi3
死蟹一隻	死蟹一隻	死蟹一只	shi ha iq tsaq
死掉	死掉	死掉	shi diau
死話	死話	死话	shi wo
死腔	死腔	死腔	shi chian
死樣	死樣	死样	shi yan
死樣怪氣	死樣怪氣	死样怪气	shi yan kua chi
死藤南瓜	死藤南瓜	死藤南瓜	shi den nei ko
死藤飯瓜	死藤飯瓜	死藤饭瓜	shi den vae ko
死藤	死藤	死藤	shi den
死進死出	死進死出	死进死出	shi cin shi tshyuq
死人	死人	死人	shi gnin
死坯	死坯	死坯	shi phei
死人勿怪	死人勿怪	死人勿怪	shi gnin vaq kua
死結	死結	死结	shi ciq
閃腰	閃腰	闪腰	shi iau
閃龍光閃	閃龍光閃	闪龙光闪	shi lon kuaon shi
喜果	喜果	喜果	shi kou
喜糖	喜糖	喜糖	shi daon
癬	癬	癣	shi3
扇	扇	扇	shi5
扇子	扇子	扇子	shi tsy
細味醬	細味醬	细味酱	shi mi cian
細鹽	細鹽	细盐	shi yi
細巧	細巧	细巧	shi chiau
細碎	細碎	细碎	shi sei
細倭豆	細倭豆	细倭豆	shi ou deu
細相	細相	细相	shi shian
細糠	細糠	细糠	shi khaon
細粉	細粉	细粉	shi fen
搧巴掌	搧巴掌	搧巴掌	shi po tsaon
線毯	綫毯	线毯	shi thae
線春	綫春	线春	shi tshyun
線襪	綫襪	线袜	shi maq
線腳	綫腳	线脚	shi ciaq
戲子人	戲子人	戏子人	shi tsy gnin
戲子	戲子	戏子	shi tsy
戲票	戲票	戏票	shi phiau
戲臺	戲臺	戏台	shi de
戲館	戲館	戏馆	shi kun
戲文	戲文	戏文	shi ven
戲文人	戲文人	戏文人	shi ven gnin
騸雞	騸鷄	骟鸡	shi ci
騸馬	骟馬	骟马	shi mo
前年子	前年子	前年子	zhi gni tsy
前年	前年	前年	zhi gni
前駝背	前駝背	前驼背	zhi dou pei
前個月	前個月	前个月	zhi kou yuq
前個月	前個月	前个月	zhi goq yuq
前頭	前頭	前头	zhi deu
前生前世	前生前世	前生前世	zhi san zhi shi
前樑頭	前梁頭	前梁头	zhi lian deu
前兩年	前兩年	前两年	zhi lian gni
前幾年	前幾年	前几年	zhi ci gni
前兩日	前兩日	前两日	zhi lian gniq
前槍○	前槍○	前枪○	zhi chian
前一槍○	前一槍○	前一枪○	zhi iq chian
前夾身	前夾身	前夹身	zhi kaq shin
前腳後跟	前腳後跟	前脚后跟	zhi ciaq gheu ken
前日子	前日子	前日子	zhi gniq tsy
前日	前日	前日	zhi gniq
齊	齊	齐	zhi2
自道自撐	自道自撑	自道自撑	zhi dau zhi tshan
自造腔	自造腔	自造腔	zhi zau chian
自家	自家	自家	zhi ko
自家人	自家人	自家人	zhi ko gnin
賤骨頭	賤骨頭	贱骨头	zhi kuaq deu
甘蔗	甘蔗	甘蔗	ki tso
甘○人家	甘○人家	甘○人家	ki gnin ko
肝	肝	肝	ki1
肝炎	肝炎	肝炎	ki yi
黃胖病	黄胖病	黄胖病	waon phaon bin
泔腳	泔腳	泔脚	ki ciaq
泔腳缸	泔腳缸	泔脚缸	ki ciaq kaon
乾菜	乾菜	干菜	ki tshe
乾貝	乾貝	干贝	ki pei
乾果	乾果	干果	ki kou
乾薑癟棗	乾薑癟棗	干姜瘪枣	ki cian piq tsau
乾剝剝	乾剝剝	干剥剥	ki poq poq
該應	該應	该应	ki in
鋸	鋸	锯	ki1
鋸路	鋸路	锯路	ki lu
鋸屑	鋸屑	锯屑	ki shiq
鋸屑板	鋸屑板	锯屑板	ki shiq pae
感冒	感冒	感冒	ki mau
趕水	趕水	赶水	ki syu
趕出去	趕出去	赶出去	ki tshyuq chi
看	看	看	khi5
看見生情	看見生情	看见生情	khi ci san jin
看醫生	看醫生	看医生	khi i san
看護	看護	看护	khi wu
看翻	看翻	看翻	khi fae
看鴨船	看鴨船	看鸭船	khi ae zoe
看頭	看頭	看头	khi deu
看牛頑	看牛頑	看牛顽	khi ngeu uae
看牛小頑	看牛小頑	看牛小顽	khi ngeu shiau uae
看張	看張	看张	khi cian
看相	看相	看相	khi shian
看相先生	看相先生	看相先生	khi shian shi san
看樣子	看樣子	看样子	khi yan tsy
看風使船	看風使船	看风使船	khi fon sy zoe
看風水	看風水	看风水	khi fon syu
看中意	看中意	看中意	khi tson i
看白戲	看白戲	看白戏	khi baq shi
看勿起	看勿起	看勿起	khi vaq chi
看勒起	看勒起	看勒起	khi laq chi
看的	看的	看的	khi tiq
看眼的	看眼的	看眼的	khi ngae tiq
延	延	延	yi2
延笆豆	延笆豆	延笆豆	yi po deu
迤風斜雨	迤風斜雨	迤风斜雨	yi fon zhia yu
沿○	沿○	沿○	yi2
沿	沿	沿	yi2
沿邊芋艿	沿邊芋艿	沿边芋艿	yi pi n na
沿街	沿街	沿街	yi ka
沿鞋	沿鞋	沿鞋	yi gha
沿鞋口	沿鞋口	沿鞋口	yi gha kheu
姨嬤	姨嬷	姨嬷	yi mho
姨嬤頭	姨嬷頭	姨嬷头	yi mho deu
姨婆	姨婆	姨婆	yi bou
姨丈	姨丈	姨丈	yi jian
姨丈公	姨丈公	姨丈公	yi jian kon
移○	移○	移○	yi2
移	移	移	yi2
蜒蚰螺	蜒蚰螺	蜒蚰螺	yi yi lou
蜒螺	蜒螺	蜒螺	yi lou
肄業	肄業	肄业	yi gniq
痬	痬	痬	yi2
遺腹子	遗腹子	遗腹子	yi foq tsy
𧍢	𧍢	𧍢	yi2
檐頭水	檐頭水	檐头水	yi deu syu
檐楯	檐楯	檐楯	yi zyun
檐楯口	檐楯口	檐楯口	yi zyun kheu
鹽	鹽	盐	yi2
鹽水	鹽水	盐水	yi syu
鹽水蝦	鹽水蝦	盐水虾	yi syu huo
鹽茄糊	鹽茄糊	盐茄糊	yi jia wu
鹽花	鹽花	盐花	yi huo
鹽甏	鹽甏	盐甏	yi ban
鹽白菜	鹽白菜	盐白菜	yi baq tshe
以…	以…	以…	yi6
以上	以上	以上	yi zaon
以下	以下	以下	yi gho
異樣	異樣	异样	yi yan
異樣刮得	異樣刮得	异样刮得	yi yan kuaq taq
現	現	现	yi6
現世報	現世報	现世报	yi syu pau
現○現○動	現○現○動	现○现○动	yi yi don
現○湯	現○湯	现○汤	yi thaon
現鈔	現鈔	现钞	yi tshau
勩	勩	勚	yi6
衣	衣	衣	i1
衣架	衣架	衣架	i ko
衣衫	衣衫	衣衫	i sae
衣莊	衣莊	衣庄	i tsaon
衣裳	衣裳	衣裳	i zaon
依	依	依	i1
依○	依○	依○	i1
依稀	依稀	依稀	i shi
依依名	依依名	依依名	i i min
依路	依路	依路	i lu
依掉	依掉	依掉	i diau
依心依相	依心依相	依心依相	i shin i shian
依心相	依心相	依心相	i shin shian
依心滿足	依心滿足	依心满足	i shin mun tsoq
胭脂	胭脂	胭脂	i ci
胭脂紅	胭脂紅	胭脂红	i ci ghon
煙	煙	烟	i1
菸	煙	烟	i1
菸紙店	煙紙店	烟纸店	i tsy ti
菸絲	煙絲	烟丝	i sy
菸袋袋	煙袋袋	烟袋袋	i de de
菸油	煙油	烟油	i yeu
菸灰	煙灰	烟灰	i huei
煙火氣	煙火氣	烟火气	i hou chi
煙囪	煙囱	烟囱	i tshon
菸盒子	煙盒子	烟盒子	i ghaq tsy
煙灼辣辣	煙灼辣辣	烟灼辣辣	i ciq laq laq
菸葉	煙葉	烟叶	i yiq
嫌貶	嫌貶	嫌贬	i pi
嫌憎	嫌憎	嫌憎	i tsen
蔫	蔫	蔫	i1
蔫糟糟	蔫糟糟	蔫糟糟	i tsau tsau
蔫樣黃	蔫樣黄	蔫样黄	i yan waon
醃篤鮮	腌篤鮮	腌笃鲜	i toq shi
瞖	瞖	瞖	i1
醫	醫	医	i1
醫生	醫生	医生	i san
掩板	掩板	掩板	i pae
掩思○板	掩思○板	掩思○板	i sy pae
嚥酸	咽酸	咽酸	i soe
意○	意○	意○	i5
