繁體	简体	吴拼	分类	页码
淡沙沙	淡沙沙	dae so so	味道	276
淡水水	淡水水	dae syu syu	味道	276
淡水刮得	淡水刮得	dae syu kuaq taq	味道	276
淡水毛氣	淡水毛气	dae syu mau chi	味道	276
淡水毛漿	淡水毛浆	dae syu mau cian	味道	276
澀口	涩口	saq kheu	味道	276
澀肯肯	涩肯肯	saq khen khen	味道	276
澀肯頭	涩肯头	saq khen deu	味道	276
大舌頭	大舌头	dou zhiq deu	味道	276
麻舌頭	麻舌头	mo zhiq deu	味道	276
麻口	麻口	mo kheu	味道	276
麻辣辣	麻辣辣	mo laq laq	味道	276
槽槽動	槽槽动	zau zau don	味道	276
油咪咪	油咪咪	yeu mhi mhi	味道	276
油蒿蒿	油蒿蒿	yeu hau hau	味道	276
油蒿氣	油蒿气	yeu hau chi	味道	276
漆蒿蒿	漆蒿蒿	chiq hau hau	味道	276
蒿蒿動	蒿蒿动	hau hau don	味道	276
粉慈慈	粉慈慈	fen dzy dzy	味道	277
粉慈慈	粉慈慈	fen zy zy	味道	277
透鮮	透鲜	theu shi	味道	277
透刮鮮	透刮鲜	theu kuaq shi	味道	277
透刮斯鮮	透刮斯鲜	theu kuaq sy shi	味道	277
鮮朵朵	鲜朵朵	shi do do	味道	277
鮮豁豁	鲜豁豁	shi huaq huaq	味道	277
飄	飘	phiau1	味道	277
壞喫	坏吃	ua chioq	味道	277
及味	及味	jiq mi	味道	277
香烘烘	香烘烘	shian hon hon	气味	277
氣息	气息	chi shiq	气味	277
氣味	气味	chi mi	气味	277
賊臭	贼臭	zaq chieu	气味	277
臭稀稀	臭稀稀	chieu shi shi	气味	277
臭稀頭	臭稀头	chieu shi deu	气味	277
臭齈齈	臭齈齈	chieu nhon nhon	气味	277
尿臊臭	尿臊臭	syu sau chieu	气味	277
尿臊氣	尿臊气	syu sau chi	气味	277
屙腥臭	屙腥臭	ou shin chieu	气味	277
腳屙臭	脚屙臭	ciaq ou chieu	气味	277
腳屙爛臭	脚屙烂臭	ciaq ou lae chieu	气味	277
汗酸臭	汗酸臭	ghei soe chieu	气味	277
酸汪汪	酸汪汪	soe uaon uaon	气味	277
酸汪氣	酸汪气	soe uaon chi	气味	277
酸漿氣	酸浆气	soe cian chi	气味	278
魚腥氣	鱼腥气	ng shin chi	气味	278
腥氣刮得	腥气刮得	shin chi kuaq taq	气味	278
藥腥氣	药腥气	yaq shin chi	气味	278
生腥氣	生腥气	san shin chi	气味	278
生油氣	生油气	san yeu chi	气味	278
醬樸氣	酱朴气	cian phoq chi	气味	278
腥鹹氣	腥咸气	shin ghae chi	气味	278
腥鹹刮氣	腥咸刮气	shin ghae kuaq chi	气味	278
羊臊氣	羊臊气	yan sau chi	气味	278
泔隔氣	泔隔气	ki kaq chi	气味	278
火炦氣	火炦气	hou baq chi	气味	278
火坺臭	火坺臭	hou baq chieu	气味	278
焦芽氣	焦芽气	ciau ngo chi	气味	278
灰墣氣	灰墣气	huei phoq chi	气味	278
餲𦤣氣	餲𦤣气	aq boq chi	气味	278
青沙氣	青沙气	chin so chi	气味	278
酒冒氣	酒冒气	cieu mau chi	气味	278
沓沓	沓沓	daq daq	声音、情貌	278
答答	答答	taq taq	声音、情貌	278
帶帶	带带	ta ta	声音、情貌	278
大大	大大	da da	声音、情貌	278
㖦㖦	𰇎𰇎	ton ton	声音、情貌	179
噥噥	哝哝	nhon nhon	声音、情貌	179
⿰口茄⿰口茄	⿰口茄⿰口茄	jia jia	声音、情貌	179
紅紅	红红	ghon ghon	声音、情貌	179
環環	环环	wae wae	声音、情貌	179
環天倒地	环天倒地	wae thi tau di	声音、情貌	179
切切促促	切切促促	chiq chiq tshoq tshoq	声音、情貌	179
謰謰謱謱	謰謰𫍴𫍴	lhi lhi lhu lhu	声音、情貌	179
黏黏呶呶	黏黏呶呶	kni kni nhu nhu	声音、情貌	179
噢胡噢胡	噢胡噢胡	au wu au wu	声音、情貌	179
咿胡噢胡	咿胡噢胡	i wu au wu	声音、情貌	179
咿哩嗚嚕	咿哩呜噜	i li u lu	声音、情貌	179
哚哚	哚哚	do do	声音、情貌	179
訰訰	𰵍𰵍	ten ten	声音、情貌	179
咖咖	咖咖	go go	声音、情貌	179
嗐嗐	嗐嗐	ghe ghe	声音、情貌	179
㖃㖃	㖃㖃	gheu gheu	声音、情貌	179
吸吸嚯嚯	吸吸嚯嚯	shiq shiq hoq hoq	声音、情貌	179
噥克噥克	哝克哝克	nhon khaq nhon khaq	声音、情貌	280
雞雞狗狗	鸡鸡狗狗	ci ci keu keu	声音、情貌	280
雞狗雞狗	鸡狗鸡狗	ci keu ci keu	声音、情貌	280
咍咍	咍咍	he he	声音、情貌	280
茄茄	茄茄	ga ga	声音、情貌	280
嗤嗤	嗤嗤	tshyu tshyu	声音、情貌	280
住住	住住	dzyu dzyu	声音、情貌	280
哏哏	哏哏	khen khen	声音、情貌	280
哏哏	哏哏	gen gen	声音、情貌	280
𩂢𩂢	𩂢𩂢	nga nga	声音、情貌	280
喳喳	喳喳	dzo dzo	声音、情貌	280
宅宅	宅宅	dzaq dzaq	声音、情貌	280
健健	健健	ji ji	声音、情貌	280
插插	插插	tshaq tshaq	声音、情貌	280
促促	促促	tshoq tshoq	声音、情貌	280
勤勤	勤勤	jin jin	声音、情貌	280
劇劇	剧剧	jiq jiq	声音、情貌	280
勤梗括得	勤梗括得	jin guan kuaq taq	声音、情貌	280
𨂅𨂅	𨂅𨂅	piq piq	声音、情貌	280
𨂅𨂅	𨂅𨂅	biq biq	声音、情貌	280
𨄇𨄇	𨄇𨄇	den den	声音、情貌	280
跫跫	跫跫	gon gon	声音、情貌	280
趪趪	趪趪	guan guan	声音、情貌	280
𨔨𨔨	𨔨𨔨	tshaq tshaq	声音、情貌	281
趞趞	趞趞	chiq chiq	声音、情貌	281
趬趬	趬趬	chiau chiau	声音、情貌	281
咕咕	咕咕	ku ku	声音、情貌	281
愁愁	愁愁	zeu zeu	声音、情貌	281
辣辣	辣辣	laq laq	声音、情貌	281
克克	克克	khaq khaq	声音、情貌	281
切切克克	切切克克	chiq chiq khaq khaq	声音、情貌	281
嗯克嗯克	嗯克嗯克	nk khaq nk khaq	声音、情貌	281
剗	刬	tshae5	副词	282
燦	灿	tshae5	副词	282
剗只	刬只	tshae ciq	副词	282
剗是	刬是	tshae zy	副词	282
只只	只只	ciq ciq	副词	282
是只	是只	zy ciq	副词	282
總只	总只	tson ciq	副词	282
純	纯	zyun2	副词	282
純光	纯光	zyun kuaon	副词	282
純做	纯做	zyun tsou	副词	282
純只	纯只	zyun ciq	副词	282
淨根	净根	zhin ken	副词	282
刮刮煞煞	刮刮煞煞	kuaq kuaq saq saq	副词	283
和總	和总	ghou tson	副词	283
統整	统整	thon cin	副词	283
都整	都整	tu cin	副词	283
都整	都整	thu cin	副词	283
和落三姆	和落三姆	ghou loq sae m	副词	283
亨白冷打	亨白冷打	han baq lan tan	副词	283
亨白冷	亨白冷	han baq lan	副词	283
亨棚冷	亨棚冷	han ban lan	副词	283
一塌刮子	一塌刮子	iq thaq kuaq tsy	副词	283
一塌刮仔	一塌刮仔	iq thaq kuaq tsy	副词	283
凡到	凡到	vae tau	副词	283
凡仔	凡仔	vae tsy	副词	283
聚頭	聚头	zyu deu	副词	283
屯頭	屯头	den deu	副词	283
聚隊	聚队	zyu dei	副词	283
屯隊	屯队	den dei	副词	283
大家	大家	doq ko	副词	283
躉注	趸注	ten tsyu	副词	283
忒	忒	thaq7	副词	283
太	太	thou5	副词	283
頂	顶	tin3	副词	283
極	极	jiq8	副词	283
阿	阿	a5	副词	283
蠻	蛮	mhae1	副词	283
賊	贼	zaq8	副词	283
瘟	瘟	uen1	副词	283
死	死	shi3	副词	283
的	的	tiq7	副词	283
呆	呆	nge2	副词	283
侅	侅	khi1	副词	283
侅	侅	khe1	副词	283
侅煞	侅煞	khi saq	副词	283
侅煞	侅煞	khe saq	副词	283
有眼	有眼	yeu ngae	副词	283
時眼	时眼	zy ngae	副词	283
交關	交关	ciau kuae	副词	283
犯關	犯关	vae kuae	副词	283
甮派	甮派	ven pha	副词	283
𣍐好	𠊉好	vei hau	副词	285
放命	放命	faon min	副词	285
放命頭	放命头	faon min deu	副词	285
出格	出格	tshyuq kaq	副词	285
意外	意外	i nga	副词	285
陰騭	阴骘	in ciq	副词	285
兜心	兜心	teu shin	副词	285
兜底	兜底	teu ti	副词	285
和個	和个	ghou kou	副词	285
整個	整个	cin kou	副词	285
全個	全个	dzoe kou	副词	285
大筆頭	大笔头	dou piq deu	副词	285
篤長	笃长	toq jian	副词	285
多少	多少	tou shiau	副词	285
多	多	tou3	副词	285
益加	益加	i ko	副词	285
益加	益加	iu ko	副词	285
稍勢	稍势	sau syu	副词	285
差眼	差眼	tsho ngae	副词	285
差一眼	差一眼	tsho iq ngae	副词	285
煞	煞	saq7	副词	285
煞死	煞死	saq shi	副词	285
煞快	煞快	saq khua	副词	285
煞人	煞人	saq gnin	副词	286
足	足	tsoq7	副词	286
足輸贏	足输赢	tsoq syu yin	副词	286
猛	猛	man4	副词	286
嘸采去	呒采去	mh tshe chi	副词	286
塔塔響	塔塔响	thaq thaq shian	副词	286
暗氣介	暗气介	ei chi ka	副词	286
暗氣一樣	暗气一样	ei chi iq yan	副词	286
阿姆阿伯勿認得	阿姆阿伯勿认得	a m aq paq vaq gnin taq	副词	286
阿伯阿姆勿認得	阿伯阿姆勿认得	aq paq a m vaq gnin taq	副词	286
阿爹阿孃勿認得	阿爹阿娘勿认得	aq tia aq gnian vaq gnin taq	副词	286
算賬	算账	soe cian	副词	286
可憐	可怜	khou li	副词	286
蹱去	蹱去	tshon chi	副词	287
𠡒百筋	𠡒百筋	tei paq cin	副词	287
眼烏珠翻白	眼乌珠翻白	ngae u tsyu fae baq	副词	287
𠡒九筋	𠡒九筋	tei cieu cin	副词	287
𠡒八𠡒九筋	𠡒八𠡒九筋	tei paq tei cieu cin	副词	287
暴	暴	bau6	副词	287
暴時	暴时	bau zy	副词	287
暴生	暴生	bau san	副词	287
先勿先	先勿先	shi vaq shi	副词	287
本格	本格	pen kaq	副词	287
本當	本当	pen taon	副词	287
本生	本生	pen san	副词	287
否則	否则	feu tsaq	副词	287
否格	否格	feu kaq	副词	287
勿然	勿然	vaq zoe	副词	287
勿然	勿然	vaq gni	副词	287
藍扮	蓝扮	lae pae	副词	287
藍扮頭	蓝扮头	lae pae deu	副词	287
千年藍扮	千年蓝扮	chi gni lae pae	副词	287
賴花頭	赖花头	la huo deu	副词	287
候着	候着	gheu zyuq	副词	287
候着記把	候着记把	gheu zyuq ci po	副词	287
有兩遭	有两遭	yeu lian tsau	副词	288
有辰光	有辰光	yeu zyun kuaon	副词	288
每遭	每遭	mei tsau	副词	288
老老	老老	lau lau	副词	288
老長	老长	lau jian	副词	288
隨常	随常	zei dzaon	副词	288
三八兩時	三八两时	sae paq lian zy	副词	288
三時八節	三时八节	sae zy paq ciq	副词	288
三八時	三八时	sae paq zy	副词	288
三不時	三不时	sae paq zy	副词	288
三日兩頭	三日两头	sae gniq lian deu	副词	288
打長	打长	tan jian	副词	288
時格	时格	zy kaq	副词	288
一到	一到	iq tau	副词	288
一到裏	一到里	iq tau li	副词	288
一到來	一到来	iq tau le	副词	288
隨到裏	随到里	zei tau li	副词	288
隨到來	随到来	zei tau le	副词	288
一日到夜	一日到夜	iq gniq tau ya	副词	288
逐日	逐日	dzoq gniq	副词	288
隨路	随路	zei lu	副词	288
逐節	逐节	dzoq ciq	副词	288
日加日	日加日	gniq ko gniq	副词	288
遲早點	迟早点	ji tsau ti	副词	288
早晏	早晏	tsau ae	副词	288
傍早	傍早	baon tsau	副词	288
老早	老早	lau tsau	副词	288
老早子	老早子	lau tsau tsy	副词	288
老早百裏	老早百里	lau tsau paq li	副词	289
老早百年	老早百年	lau tsau paq gni	副词	289
遲了百遲	迟了百迟	ji liau paq ji	副词	289
還只	还只	wa ciq	副词	289
隨手	随手	zei shieu	副词	289
由手	由手	yeu shieu	副词	289
由數	由数	yeu su	副词	289
當忙	当忙	taon maon	副词	289
當馬	当马	taon mo	副词	289
晏眼	晏眼	ae ngae	副词	289
捱兩日	捱两日	nga lian gniq	副词	289
庉晌	庉晌	den zaon	副词	289
庉點	庉点	den ti	副词	289
過晌	过晌	kou zaon	副词	289
庉一晌	庉一晌	den iq zaon	副词	289
過一晌	过一晌	kou iq zaon	副词	289
再晌	再晌	tse zaon	副词	289
庉𪰻	庉𪰻	den chian	副词	289
庉一𪰻	庉一𪰻	den iq chian	副词	289
過𪰻	过𪰻	kou chian	副词	289
過一𪰻	过一𪰻	kou iq chian	副词	289
再𪰻	再𪰻	tse chian	副词	289
臨時口緊	临时口紧	lin zy kheu cin	副词	289
𧼰時裏	𧼰时里	zaq zy li	副词	289
𧼰時	𧼰时	zaq zy	副词	289
一時三刻	一时三刻	iq zy sae khaq	副词	289
一時裏	一时里	iq zy li	副词	289
立時三刻	立时三刻	liq zy sae khaq	副词	289
立時裏	立时里	liq zy li	副词	289
勿打記頭	勿打记头	vaq tan ci deu	副词	289
打勿記頭	打勿记头	tan vaq ci deu	副词	289
打末知頭	打末知头	tan maq tsyu deu	副词	289
啥	啥	soq7	副词	289
啥	啥	sou1	副词	289
怕	怕	pho5	副词	290
怕其	怕其	pho ji	副词	290
得怕	得怕	taq pho	副词	290
嘸本	呒本	mh pen	副词	290
依本	依本	i pen	副词	290
且看	且看	chia khi	副词	290
看其	看其	khi ji	副词	290
且叩	且叩	chia kheu	副词	290
倒叩	倒叩	tau kheu	副词	290
防來	防来	baon le	副词	290
防依來	防依来	baon i le	副词	290
親	亲	chin5	副词	290
可	可	khou3	副词	290
淨	净	zhin4	副词	290
甚	甚	zhin4	副词	290
頭	头	deu2	副词	290
靠	靠	khau5	副词	290
毛	毛	mau2	副词	290
大約目	大约目	da iaq moq	副词	290
大節目	大节目	da ciq moq	副词	290
大題目	大题目	da di moq	副词	290
撩表	撩表	liau piau	副词	291
莫	莫	mhau1	副词	291
莫怕	莫怕	mhau pho	副词	291
嘸數	呒数	mh su	副词	291
阿爬	阿爬	aq bo	副词	291
阿防	阿防	aq baon	副词	291
作興	作兴	tsoq shin	副词	291
落去	落去	loq chi	副词	291
弄仿	弄仿	lon faon	副词	291
弄勿好	弄勿好	lon vaq hau	副词	291
像人家	像人家	zhian gnin ko	副词	291
像家	像家	zhian ko	副词	291
像煞	像煞	zhian saq	副词	291
頂好	顶好	tin hau	副词	291
派派	派派	pha pha	副词	291
大面	大面	dou mi	副词	291
穩	稳	uen3	副词	291
限板	限板	ghae pae	副词	291
板規	板规	pae kuei	副词	291
好壞	好坏	hau ua	副词	291
堪好	堪好	khi hau	副词	291
看好	看好	khi hau	副词	291
生好	生好	san hau	副词	292
百發百中	百发百中	paq faq paq tson	副词	292
百發百中	百发百中	piq faq piq tson	副词	292
有嘸	有呒	yeu mh	副词	292
定規	定规	din kuei	副词	292
定規性	定规性	din kuei shin	副词	292
定堅	定坚	din ci	副词	292
定歸	定归	din kuei	副词	292
千定萬定	千定万定	chi din vae din	副词	292
硬勁	硬劲	ngan cin	副词	292
硬致致	硬致致	ngan tsy tsy	副词	292
橫致致	横致致	uan tsy tsy	副词	292
血心	血心	shiuq shin	副词	292
前生前世	前生前世	zhi san zhi shi	副词	292
萬生萬世	万生万世	vae san vae shi	副词	292
隨俉咋	随俉咋	zei ng dza	副词	292
隨便咋	随便咋	zei bi dza	副词	292
總歸子	总归子	tson kuei tsy	副词	292
真	真	cin1	副词	292
真可	真可	cin khou	副词	292
真個	真个	cin kou	副词	292
真真	真真	cin cin	副词	293
真道話	真道话	cin dau wo	副词	293
真到話	真到话	cin tau wo	副词	293
認真話	认真话	zyun cin wo	副词	293
正式	正式	cin shiq	副词	293
是會	是会	zy wei	副词	293
老少無欺	老少无欺	lau shiau vu chi	副词	293
老少無欺	老少无欺	lau shiau wu chi	副词	293
斷竅	断窍	doe chiau	副词	293
斷命	断命	doe min	副词	293
實貨	实货	zyuq hou	副词	293
實爲	实为	zyuq wei	副词	293
扣	扣	kheu5	副词	293
扣扣	扣扣	kheu kheu	副词	293
候扣	候扣	gheu kheu	副词	293
扣正	扣正	kheu cin	副词	293
眼眼叫	眼眼叫	ngae ngae ciau	副词	293
虧煞	亏煞	chiu saq	副词	293
虧勒	亏勒	chiu laq	副词	293
依掉	依掉	i diau	副词	293
因掉	因掉	in diau	副词	293
嘸掉	呒掉	mh diau	副词	293
因即	因即	in ciq	副词	293
且是	且是	chia zy	副词	293
且顧	且顾	chia ku	副词	293
橫縱	横纵	wan tson	副词	294
橫直	横直	wan jiq	副词	294
偏生	偏生	phi san	副词	294
特爲	特为	daq wei	副词	294
特特爲	特特为	daq daq wei	副词	294
特特爲爲	特特为为	daq daq wei wei	副词	294
特意	特意	daq i	副词	294
特特意	特特意	daq daq i	副词	294
特特意意	特特意意	daq daq i i	副词	294
偶湊	偶凑	noe tshe	副词	294
順埭	顺埭	zyun da	副词	294
順埭過便	顺埭过便	zyun da kou bi	副词	294
頂頭摸腳	顶头摸脚	tin deu moq ciaq	副词	294
依路	依路	i lu	副词	294
依埭	依埭	i da	副词	294
挨埭	挨埭	a da	副词	294
咦	咦	yi4	副词	294
原方	原方	gniu faon	副词	294
原方	原方	kniu faon	副词	294
原舊	原旧	gniu jieu	副词	294
仍規	仍规	jin kuei	副词	294
同同	同同	don don	副词	294
直落	直落	jiq loq	副词	294
煞扣	煞扣	saq kheu	副词	295
生三	生三	sen sae	副词	295
生死	生死	sen sy	副词	295
恨性命	恨性命	ghen shin min	副词	295
要煞性命	要煞性命	iau saq shin min	副词	295
要條性命	要条性命	iau diau shin min	副词	295
恨命	恨命	ghen min	副词	295
恨死命	恨死命	ghen shi min	副词	295
恨死老命	恨死老命	ghen shi lau min	副词	295
阿講	阿讲	aq kaon	副词	295
阿講	阿讲	oq kaon	副词	295
枉爲	枉为	uaon wei	副词	295
門門賬	门门账	men men cian	副词	295
門分賬	门分账	men fen cian	副词	295
單怕	单怕	tae pho	副词	295
獨怕	独怕	doq pho	副词	295
怕敢	怕敢	pho ki	副词	295
能可	能可	nen khou	副词	295
能使	能使	nen sy	副词	295
反使	反使	fae sy	副词	295
反向	反向	fae shian	副词	295
三弄四弄	三弄四弄	sae lon sy lon	副词	295
偷盤	偷盘	theu bun	副词	295
偷伴	偷伴	theu bun	副词	295
管且啥	管且啥	kun chia sou	副词	296
跌倒勢講	跌倒势讲	tiq tau syu kaon	副词	296
跌落馬	跌落马	tiq loq mo	副词	296
勿	勿	vaq8	副词	296
弗	弗	vaq8	副词	296
勿	勿	faq7	副词	296
弗	弗	faq7	副词	296
莫	莫	mhau1	副词	296
莫咋	莫咋	mhau dza	副词	296
莫大	莫大	mhau da	副词	296
𣍐	𠊉	vei2	副词	296
𣍐咋	𠊉咋	vei dza	副词	296
𣍐大	𠊉大	vei da	副词	296
甮	甮	ven2	副词	296
好甮	好甮	hau ven	副词	296
覅	覅	fe1	副词	296
覅其	覅其	fe ji	副词	297
覅咋	覅咋	fe dza	副词	297
嘸沒	呒没	mhiq7	副词	297
嘸沒咋	呒没咋	mhiq dza	副词	297
嘸沒大	呒没大	mhiq da	副词	297
嘸沒啥	呒没啥	mhiq sou	副词	297
嘸沒啥	呒没啥	mhiq so	副词	297
嘸沒只	呒没只	mhiq ciq	副词	297
嘸告	呒告	mh kau	副词	297
只勿	只勿	ciq vaq	副词	297
勿結	勿结	vaq ciq	副词	297
勿及	勿及	vaq ji	副词	297
勿來	勿来	vaq le	副词	297
勿像	勿像	vaq zhian	副词	297
勿相像	勿相像	vaq shian zhian	副词	297
勿相相	勿相相	vaq shian shian	副词	297
勒像	勒像	laq zhian	副词	297
勒相像	勒相像	laq shian zhian	副词	297
勒相相	勒相相	laq shian shian	副词	297
勿過	勿过	vaq kou	副词	298
勒過	勒过	laq kou	副词	298
勿好	勿好	vaq hau	副词	298
勿有	勿有	vaq yeu	副词	298
勿相似	勿相似	vaq shian zy	副词	298
勒相似	勒相似	laq shian zy	副词	298
撥	拨	paq7	介词、连词	298
撥	拨	poq7	介词、连词	298
搭	搭	taq7	介词、连词	298
搭	搭	thaq7	介词、连词	298
躲	躲	to3	介词、连词	298
等	等	ten3	介词、连词	298
底	底	ti3	介词、连词	298
向	向	shian5	介词、连词	299
使	使	sy3	介词、连词	299
帶	带	ta5	介词、连词	299
連兼	连兼	li ci	介词、连词	299
除出	除出	dzyu tshyuq	介词、连词	299
活被	活被	waq bei	介词、连词	299
湊	凑	tshei5	介词、连词	299
搭仔	搭仔	taq tsy	介词、连词	299
爲仔	为仔	wei tsy	介词、连词	299
格	格	kaq7	介词、连词	299
介	介	ka5	介词、连词	299
格末	格末	kaq maq	介词、连词	300
格勒	格勒	kaq laq	介词、连词	300
格勒格	格勒格	kaq laq kaq	介词、连词	300
介勒	介勒	ka laq	介词、连词	300
格勒話	格勒话	kaq laq wo	介词、连词	300
否格	否格	feu kaq	介词、连词	300
反格	反格	fae kaq	介词、连词	300
反即	反即	fae ciq	介词、连词	300
勿然	勿然	vaq zoe	介词、连词	300
勿然	勿然	vaq gni	介词、连词	300
雖則	虽则	sei tsaq	介词、连词	300
雖即	虽即	sei ciq	介词、连词	300
勿是	勿是	vaq zy	介词、连词	300
勿得	勿得	vaq taq	介词、连词	300
勿生好心	勿生好心	vaq san hau shin	介词、连词	300
必可	必可	piq khou	介词、连词	300
必過	必过	piq kou	介词、连词	300
做	做	tsou5	介词、连词	300
竟	竟	cin5	介词、连词	300
竟得	竟得	cin taq	介词、连词	300
如話	如话	zyu wo	介词、连词	300
是話	是话	zy wo	介词、连词	300
篤知	笃知	toq tsyu	介词、连词	300
鐵爬	铁爬	thiq bo	介词、连词	300
鐵防	铁防	thiq baon	介词、连词	300
只勒	只勒	ciq laq	介词、连词	300
但便	但便	dae bi	介词、连词	301
省勒	省勒	san laq	介词、连词	301
省勒	省勒	sae laq	介词、连词	301
單超	单超	tae chiau	介词、连词	301
哎	哎	ei1	其他虚词（附象声词、词缀）	301
哎	哎	ghei2	其他虚词（附象声词、词缀）	301
嘔	呕	eu1	其他虚词（附象声词、词缀）	301
咉	咉	aon1	其他虚词（附象声词、词缀）	301
咉	咉	ghaon2	其他虚词（附象声词、词缀）	301
噢	噢	au1	其他虚词（附象声词、词缀）	301
嚯	嚯	hoq7	其他虚词（附象声词、词缀）	301
嚯	嚯	ghoq8	其他虚词（附象声词、词缀）	301
嗐	嗐	ghe6	其他虚词（附象声词、词缀）	301
咦	咦	yi4	其他虚词（附象声词、词缀）	301
咳	咳	he5	其他虚词（附象声词、词缀）	301
啊	啊	gha4	其他虚词（附象声词、词缀）	301
⿰口舒	⿰口舒	syu1	其他虚词（附象声词、词缀）	302
吖	吖	o1	其他虚词（附象声词、词缀）	302
吼	吼	heu1	其他虚词（附象声词、词缀）	302
溜	溜	lieu6	其他虚词（附象声词、词缀）	302
𠿭	𠿭	waq8	其他虚词（附象声词、词缀）	302
喌喌	喌喌	tsoq tsoq	其他虚词（附象声词、词缀）	302
喌喌	喌喌	tso tso	其他虚词（附象声词、词缀）	302
喁喁	喁喁	gniu gniu	其他虚词（附象声词、词缀）	302
囑囑	嘱嘱	tsoq tsoq	其他虚词（附象声词、词缀）	302
咩咩	咩咩	mhae mhae	其他虚词（附象声词、词缀）	302
咪咪	咪咪	mhi mhi	其他虚词（附象声词、词缀）	302
𡀂	𡀂	lei2	其他虚词（附象声词、词缀）	302
了	了	lei2	其他虚词（附象声词、词缀）	302
的𡀂	的𡀂	tiq lei	其他虚词（附象声词、词缀）	302
仔𡀂	仔𡀂	tsy lei	其他虚词（附象声词、词缀）	302
介𡀂	介𡀂	ka lei	其他虚词（附象声词、词缀）	302
𠲎	𠲎	vaq8	其他虚词（附象声词、词缀）	303
勿啦	勿啦	vaq laq	其他虚词（附象声词、词缀）	303
啦	啦	laq8	其他虚词（附象声词、词缀）	303
啦	啦	la6	其他虚词（附象声词、词缀）	303
吶	呐	naq8	其他虚词（附象声词、词缀）	303
吶	呐	nha1	其他虚词（附象声词、词缀）	303
哪	哪	naq8	其他虚词（附象声词、词缀）	303
哪	哪	nha1	其他虚词（附象声词、词缀）	303
末	末	maq8	其他虚词（附象声词、词缀）	303
嗬	嗬	ghou2	其他虚词（附象声词、词缀）	303
是	是	zy4	其他虚词（附象声词、词缀）	303
東西	东西	ton shi	其他虚词（附象声词、词缀）	303
一聲響	一声响	iq shin shian	其他虚词（附象声词、词缀）	304
個	个	goq8	其他虚词（附象声词、词缀）	304
個	个	ghoq8	其他虚词（附象声词、词缀）	304
勒	勒	laq8	其他虚词（附象声词、词缀）	304
了	了	laq8	其他虚词（附象声词、词缀）	304
勒其	勒其	laq ji	其他虚词（附象声词、词缀）	304
勒眼	勒眼	laq ngae	其他虚词（附象声词、词缀）	304
的	的	tiq7	其他虚词（附象声词、词缀）	304
仔	仔	tsy3	其他虚词（附象声词、词缀）	304
的仔	的仔	tiq tsy	其他虚词（附象声词、词缀）	305
當	当	taon1	其他虚词（附象声词、词缀）	305
東	东	ton1	其他虚词（附象声词、词缀）	305
該	该	ke1	其他虚词（附象声词、词缀）	305
掉	掉	diau6	其他虚词（附象声词、词缀）	305
其	其	ji6	其他虚词（附象声词、词缀）	305
帶	带	ta5	其他虚词（附象声词、词缀）	305
擔	担	tae1	其他虚词（附象声词、词缀）	305
介	介	ka5	其他虚词（附象声词、词缀）	305
一樣	一样	iq yan	其他虚词（附象声词、词缀）	306
依稀	依稀	i shi	其他虚词（附象声词、词缀）	306
稀稀	稀稀	shi shi	其他虚词（附象声词、词缀）	306
排場	排场	ba jian	其他虚词（附象声词、词缀）	306
阿	阿	aq7	其他虚词（附象声词、词缀）	306
子	子	tsy3	其他虚词（附象声词、词缀）	306
頭	头	deu2	其他虚词（附象声词、词缀）	306
動	动	don4	其他虚词（附象声词、词缀）	306
叫	叫	ciau5	其他虚词（附象声词、词缀）	307
個	个	kou5	其他虚词（附象声词、词缀）	307
相	相	shian5	其他虚词（附象声词、词缀）	307
裏	里	li4	其他虚词（附象声词、词缀）	307
不剌	不剌	paq laq	其他虚词（附象声词、词缀）	307
剌柴	剌柴	la za	其他虚词（附象声词、词缀）	307
肯肯	肯肯	khen khen	其他虚词（附象声词、词缀）	307
咪咪	咪咪	mhi mhi	其他虚词（附象声词、词缀）	307
呵呵	呵呵	hou hou	其他虚词（附象声词、词缀）	307
稀稀	稀稀	shi shi	其他虚词（附象声词、词缀）	307
剝剝	剥剥	poq poq	其他虚词（附象声词、词缀）	307
得得	得得	taq taq	其他虚词（附象声词、词缀）	307
頓頓	顿顿	ten ten	其他虚词（附象声词、词缀）	307
篤篤	笃笃	toq toq	其他虚词（附象声词、词缀）	307
性性	性性	shin shin	其他虚词（附象声词、词缀）	307
刮刮	刮刮	kuaq kuaq	其他虚词（附象声词、词缀）	307
刮得	刮得	kuaq taq	其他虚词（附象声词、词缀）	307
結夾	结夹	ciq kaq	其他虚词（附象声词、词缀）	308
刮氣	刮气	kuaq chi	其他虚词（附象声词、词缀）	308
幾糟	几糟	ci tsau	其他虚词（附象声词、词缀）	308
得	得	taq7	其他虚词（附象声词、词缀）	308
格楞敦	格楞敦	kaq len ten	其他虚词（附象声词、词缀）	308
的剝落	的剥落	tiq poq loq	其他虚词（附象声词、词缀）	308
刮	刮	kuaq7	其他虚词（附象声词、词缀）	308
刮斯	刮斯	kuaq sy	其他虚词（附象声词、词缀）	308
得斯	得斯	taq sy	其他虚词（附象声词、词缀）	308
不	不	paq7	其他虚词（附象声词、词缀）	308
裏	里	li4	其他虚词（附象声词、词缀）	308
西	西	shi1	其他虚词（附象声词、词缀）	308
記	记	ci5	其他虚词（附象声词、词缀）	308
